Date,High,Low,Open,Close,Volume,Adj Close,Company Name
9/3/2019,19.05999947,18.84000015,18.85000038,19,3834300,19,Vodafone Group
9/4/2019,19.13999939,18.97999954,19.10000038,19.11000061,2991400,19.11000061,Vodafone Group
9/5/2019,19.09000015,18.79000092,19.07999992,18.84000015,3210600,18.84000015,Vodafone Group
9/6/2019,19.17000008,18.98999977,19.02000046,19.14999962,2657800,19.14999962,Vodafone Group
9/9/2019,19.25,19.03000069,19.09000015,19.22999954,3221800,19.22999954,Vodafone Group
9/10/2019,19.47999954,19.32999992,19.34000015,19.42000008,2646300,19.42000008,Vodafone Group
9/11/2019,19.72999954,19.42000008,19.45000076,19.71999931,3372700,19.71999931,Vodafone Group
9/12/2019,19.89999962,19.71999931,19.82999992,19.82999992,3406000,19.82999992,Vodafone Group
9/13/2019,20.09000015,19.90999985,20,19.97999954,3181600,19.97999954,Vodafone Group
9/16/2019,19.84000015,19.70000076,19.71999931,19.70999908,2535400,19.70999908,Vodafone Group
9/17/2019,19.75,19.38999939,19.5,19.68000031,3429700,19.68000031,Vodafone Group
9/18/2019,19.52000046,19.37999916,19.48999977,19.46999931,2691000,19.46999931,Vodafone Group
9/19/2019,20.09000015,19.81999969,19.82999992,19.95999908,3180200,19.95999908,Vodafone Group
9/20/2019,20.07999992,19.77000046,20.06999969,19.85000038,4265800,19.85000038,Vodafone Group
9/23/2019,19.87000084,19.77000046,19.77000046,19.80999947,2062500,19.80999947,Vodafone Group
9/24/2019,19.97999954,19.73999977,19.96999931,19.81999969,3894800,19.81999969,Vodafone Group
9/25/2019,19.89999962,19.70000076,19.78000069,19.84000015,2505400,19.84000015,Vodafone Group
9/26/2019,20.12000084,20,20.06999969,20.04999924,3748400,20.04999924,Vodafone Group
9/27/2019,20.05999947,19.77000046,20.01000023,19.82999992,2564100,19.82999992,Vodafone Group
9/30/2019,19.98999977,19.87000084,19.97999954,19.90999985,2584700,19.90999985,Vodafone Group
10/1/2019,19.56999969,19.30999947,19.54999924,19.39999962,4796900,19.39999962,Vodafone Group
10/2/2019,19.42000008,19.02000046,19.39999962,19.07999992,4127000,19.07999992,Vodafone Group
10/3/2019,19.29999924,18.98999977,19.05999947,19.27000046,2831700,19.27000046,Vodafone Group
10/4/2019,19.48999977,19.19000053,19.20000076,19.47999954,2568700,19.47999954,Vodafone Group
10/7/2019,19.85000038,19.71999931,19.78000069,19.76000023,2613500,19.76000023,Vodafone Group
10/8/2019,19.70000076,19.55999947,19.65999985,19.62000084,2721000,19.62000084,Vodafone Group
10/9/2019,19.73999977,19.57999992,19.70999908,19.61000061,3704400,19.61000061,Vodafone Group
10/10/2019,20.12999916,19.73999977,19.79000092,20.09000015,3619100,20.09000015,Vodafone Group
10/11/2019,20.45000076,20.21999931,20.39999962,20.21999931,3203200,20.21999931,Vodafone Group
10/14/2019,20.31999969,20.11000061,20.22999954,20.18000031,2096800,20.18000031,Vodafone Group
10/15/2019,20.61000061,20.34000015,20.39999962,20.54000092,4622400,20.54000092,Vodafone Group
10/16/2019,20.69000053,20.5,20.60000038,20.57999992,2361200,20.57999992,Vodafone Group
10/17/2019,20.75,20.54000092,20.71999931,20.65999985,2620300,20.65999985,Vodafone Group
10/18/2019,20.73999977,20.60000038,20.62000084,20.61000061,2566500,20.61000061,Vodafone Group
10/21/2019,20.82999992,20.5,20.78000069,20.54999924,2841400,20.54999924,Vodafone Group
10/22/2019,20.81999969,20.62000084,20.71999931,20.72999954,3348100,20.72999954,Vodafone Group
10/23/2019,20.96999931,20.79000092,20.80999947,20.95999908,2538900,20.95999908,Vodafone Group
10/24/2019,20.76000023,20.57999992,20.72999954,20.64999962,2594200,20.64999962,Vodafone Group
10/25/2019,20.59000015,20.45999908,20.45999908,20.5,1905000,20.5,Vodafone Group
10/28/2019,20.62000084,20.46999931,20.48999977,20.56999969,1845700,20.56999969,Vodafone Group
10/29/2019,20.43000031,20.25,20.37999916,20.32999992,2178400,20.32999992,Vodafone Group
10/30/2019,20.34000015,20.17000008,20.19000053,20.29000092,3067100,20.29000092,Vodafone Group
10/31/2019,20.45000076,20.25,20.32999992,20.42000008,165860000,20.42000008,Vodafone Group
11/1/2019,20.47999954,20.36000061,20.37000084,20.46999931,1939000,20.46999931,Vodafone Group
